user_id,image_id,class
65,0,1
50,1,6
85,2,6
86,3,8
25,4,8
5,5,3
16,6,4
64,7,6
31,8,0
96,9,6
58,10,0
55,11,3
79,12,6
64,13,6
49,14,5
13,15,4
25,16,8
5,17,3
0,18,2
85,19,6
21,20,0
41,21,3
62,22,1
53,23,4
93,24,0
50,25,6
50,26,6
11,27,2
4,28,7
96,29,6
46,30,9
28,31,0
16,32,4
83,33,5
39,34,7
34,35,1
79,36,6
47,37,7
52,38,9
73,39,1
4,40,7
8,41,7
86,42,8
76,43,0
23,44,3
67,45,7
48,46,4
40,47,7
56,48,3
34,49,1
58,50,0
43,51,4
85,52,6
64,53,6
37,54,1
9,55,4
29,56,9
11,57,2
95,58,6
7,59,4
14,60,5
76,61,0
24,62,4
74,63,6
69,64,0
81,65,8
56,66,3
43,67,4
98,68,8
78,69,8
41,70,3
46,71,9
77,72,5
42,73,7
37,74,1
54,75,9
38,76,4
10,77,7
54,78,9
73,79,1
44,80,9
67,81,7
83,82,5
3,83,2
67,84,7
23,85,3
53,86,4
92,87,8
68,88,8
11,89,2
34,90,1
63,91,5
99,92,9
11,93,2
40,94,7
98,95,8
78,96,8
32,97,6
92,98,8
25,99,8
65,100,1
30,101,3
81,102,8
89,103,8
84,104,5
13,105,4
40,106,7
65,107,1
33,108,6
85,109,6
73,110,1
75,111,6
34,112,1
96,113,6
40,114,7
21,115,0
13,116,4
64,117,6
94,118,9
26,119,5
78,120,8
47,121,7
82,122,1
44,123,9
21,124,0
55,125,3
41,126,3
18,127,7
50,128,6
80,129,9
60,130,0
12,131,4
18,132,7
62,133,1
13,134,4
30,135,3
16,136,4
30,137,3
80,138,9
98,139,8
47,140,7
31,141,0
88,142,8
20,143,3
97,144,9
6,145,1
28,146,0
25,147,8
28,148,0
54,149,9
48,150,4
60,151,0
1,152,2
82,153,1
9,154,4
11,155,2
40,156,7
65,157,1
8,158,7
76,159,0
0,160,2
94,161,9
47,162,7
99,163,9
86,164,8
64,165,6
24,166,4
12,167,4
15,168,1
37,169,1
67,170,7
86,171,8
98,172,8
79,173,6
9,174,4
77,175,5
75,176,6
2,177,3
99,178,9
43,179,4
36,180,2
83,181,5
55,182,3
95,183,6
47,184,7
47,185,7
41,186,3
91,187,9
6,188,1
20,189,3
65,190,1
78,191,8
23,192,3
30,193,3
63,194,5
33,195,6
12,196,4
60,197,0
29,198,9
32,199,6
95,200,6
26,201,5
93,202,0
50,203,6
70,204,2
31,205,0
77,206,5
9,207,4
52,208,9
2,209,3
16,210,4
32,211,6
93,212,0
96,213,6
42,214,7
21,215,0
47,216,7
70,217,2
75,218,6
54,219,9
75,220,6
63,221,5
7,222,4
45,223,5
12,224,4
67,225,7
10,226,7
96,227,6
86,228,8
65,229,1
77,230,5
97,231,9
18,232,7
78,233,8
86,234,8
40,235,7
73,236,1
16,237,4
95,238,6
16,239,4
11,240,2
61,241,2
84,242,5
93,243,0
35,244,3
68,245,8
52,246,9
